Crop,District,Date,Price
Tomato,Bangalore Urban,2025-10-07,31.71
Tomato,Bangalore Rural,2025-10-07,34.98
Tomato,Mysuru,2025-10-07,31.12
Tomato,Mandya,2025-10-07,29.83
Tomato,Tumakuru,2025-10-07,33.87
Tomato,Kolar,2025-10-07,27.95
Tomato,Chikkaballapur,2025-10-07,33.52
Tomato,Ramanagara,2025-10-07,35.98
Tomato,Hassan,2025-10-07,33.28
Tomato,Chikkamagaluru,2025-10-07,32.34
Tomato,Kodagu,2025-10-07,30.11
Tomato,Dakshina Kannada,2025-10-07,33.5
Tomato,Udupi,2025-10-07,29.97
Tomato,Uttara Kannada,2025-10-07,29.1
Tomato,Shivamogga,2025-10-07,33.05
Tomato,Davangere,2025-10-07,34.77
Tomato,Chitradurga,2025-10-07,30.92
Tomato,Ballari,2025-10-07,30.7
Tomato,Koppal,2025-10-07,28.16
Tomato,Raichur,2025-10-07,30.72
Tomato,Kalaburagi,2025-10-07,27.72
Tomato,Yadgir,2025-10-07,30.56
Tomato,Bidar,2025-10-07,32.23
Tomato,Vijayapura,2025-10-07,34.73
Tomato,Bagalkot,2025-10-07,33.19
Tomato,Belagavi,2025-10-07,29.93
Tomato,Dharwad,2025-10-07,25.71
Tomato,Gadag,2025-10-07,33.49
Tomato,Haveri,2025-10-07,29.66
Onion,Bangalore Urban,2025-10-07,27.63
Onion,Bangalore Rural,2025-10-07,22.3
Onion,Mysuru,2025-10-07,25.52
Onion,Mandya,2025-10-07,23.8
Onion,Tumakuru,2025-10-07,25.09
Onion,Kolar,2025-10-07,26.78
Onion,Chikkaballapur,2025-10-07,24.01
Onion,Ramanagara,2025-10-07,25.17
Onion,Hassan,2025-10-07,28.68
Onion,Chikkamagaluru,2025-10-07,26.11
Onion,Kodagu,2025-10-07,27.98
Onion,Dakshina Kannada,2025-10-07,26.16
Onion,Udupi,2025-10-07,29.86
Onion,Uttara Kannada,2025-10-07,27.95
Onion,Shivamogga,2025-10-07,30.23
Onion,Davangere,2025-10-07,22.2
Onion,Chitradurga,2025-10-07,26.55
Onion,Ballari,2025-10-07,25.0
Onion,Koppal,2025-10-07,27.12
Onion,Raichur,2025-10-07,28.27
Onion,Kalaburagi,2025-10-07,29.67
Onion,Yadgir,2025-10-07,22.64
Onion,Bidar,2025-10-07,25.22
Onion,Vijayapura,2025-10-07,26.84
Onion,Bagalkot,2025-10-07,24.96
Onion,Belagavi,2025-10-07,26.99
Onion,Dharwad,2025-10-07,28.25
Onion,Gadag,2025-10-07,29.23
Onion,Haveri,2025-10-07,29.35
Potato,Bangalore Urban,2025-10-07,24.57
Potato,Bangalore Rural,2025-10-07,23.13
Potato,Mysuru,2025-10-07,24.27
Potato,Mandya,2025-10-07,25.49
Potato,Tumakuru,2025-10-07,20.42
Potato,Kolar,2025-10-07,24.38
Potato,Chikkaballapur,2025-10-07,25.38
Potato,Ramanagara,2025-10-07,24.82
Potato,Hassan,2025-10-07,23.18
Potato,Chikkamagaluru,2025-10-07,20.36
Potato,Kodagu,2025-10-07,22.99
Potato,Dakshina Kannada,2025-10-07,24.04
Potato,Udupi,2025-10-07,22.84
Potato,Uttara Kannada,2025-10-07,21.06
Potato,Shivamogga,2025-10-07,25.16
Potato,Davangere,2025-10-07,25.43
Potato,Chitradurga,2025-10-07,26.43
Potato,Ballari,2025-10-07,23.23
Potato,Koppal,2025-10-07,21.69
Potato,Raichur,2025-10-07,22.93
Potato,Kalaburagi,2025-10-07,26.11
Potato,Yadgir,2025-10-07,23.02
Potato,Bidar,2025-10-07,24.59
Potato,Vijayapura,2025-10-07,24.92
Potato,Bagalkot,2025-10-07,23.27
Potato,Belagavi,2025-10-07,23.57
Potato,Dharwad,2025-10-07,24.88
Potato,Gadag,2025-10-07,23.11
Potato,Haveri,2025-10-07,25.45
Chilli,Bangalore Urban,2025-10-07,105.24
Chilli,Bangalore Rural,2025-10-07,100.34
Chilli,Mysuru,2025-10-07,107.62
Chilli,Mandya,2025-10-07,90.89
Chilli,Tumakuru,2025-10-07,113.38
Chilli,Kolar,2025-10-07,108.66
Chilli,Chikkaballapur,2025-10-07,109.16
Chilli,Ramanagara,2025-10-07,93.36
Chilli,Hassan,2025-10-07,108.05
Chilli,Chikkamagaluru,2025-10-07,91.32
Chilli,Kodagu,2025-10-07,85.26
Chilli,Dakshina Kannada,2025-10-07,91.71
Chilli,Udupi,2025-10-07,96.24
Chilli,Uttara Kannada,2025-10-07,94.76
Chilli,Shivamogga,2025-10-07,119.73
Chilli,Davangere,2025-10-07,89.86
Chilli,Chitradurga,2025-10-07,103.48
Chilli,Ballari,2025-10-07,103.69
Chilli,Koppal,2025-10-07,103.36
Chilli,Raichur,2025-10-07,101.73
Chilli,Kalaburagi,2025-10-07,94.41
Chilli,Yadgir,2025-10-07,104.29
Chilli,Bidar,2025-10-07,99.69
Chilli,Vijayapura,2025-10-07,92.32
Chilli,Bagalkot,2025-10-07,109.27
Chilli,Belagavi,2025-10-07,97.54
Chilli,Dharwad,2025-10-07,87.85
Chilli,Gadag,2025-10-07,95.94
Chilli,Haveri,2025-10-07,91.55
Beans,Bangalore Urban,2025-10-07,55.84
Beans,Bangalore Rural,2025-10-07,50.1
Beans,Mysuru,2025-10-07,46.75
Beans,Mandya,2025-10-07,46.94
Beans,Tumakuru,2025-10-07,48.06
Beans,Kolar,2025-10-07,40.09
Beans,Chikkaballapur,2025-10-07,45.17
Beans,Ramanagara,2025-10-07,54.74
Beans,Hassan,2025-10-07,47.19
Beans,Chikkamagaluru,2025-10-07,56.24
Beans,Kodagu,2025-10-07,41.03
Beans,Dakshina Kannada,2025-10-07,53.86
Beans,Udupi,2025-10-07,51.33
Beans,Uttara Kannada,2025-10-07,52.51
Beans,Shivamogga,2025-10-07,52.01
Beans,Davangere,2025-10-07,50.34
Beans,Chitradurga,2025-10-07,57.78
Beans,Ballari,2025-10-07,48.12
Beans,Koppal,2025-10-07,50.81
Beans,Raichur,2025-10-07,50.55
Beans,Kalaburagi,2025-10-07,51.27
Beans,Yadgir,2025-10-07,49.42
Beans,Bidar,2025-10-07,46.05
Beans,Vijayapura,2025-10-07,52.55
Beans,Bagalkot,2025-10-07,48.48
Beans,Belagavi,2025-10-07,44.08
Beans,Dharwad,2025-10-07,45.94
Beans,Gadag,2025-10-07,56.44
Beans,Haveri,2025-10-07,50.96
Cabbage,Bangalore Urban,2025-10-07,23.42
Cabbage,Bangalore Rural,2025-10-07,20.96
Cabbage,Mysuru,2025-10-07,22.24
Cabbage,Mandya,2025-10-07,21.36
Cabbage,Tumakuru,2025-10-07,19.25
Cabbage,Kolar,2025-10-07,23.7
Cabbage,Chikkaballapur,2025-10-07,19.48
Cabbage,Ramanagara,2025-10-07,20.28
Cabbage,Hassan,2025-10-07,19.09
Cabbage,Chikkamagaluru,2025-10-07,20.49
Cabbage,Kodagu,2025-10-07,25.78
Cabbage,Dakshina Kannada,2025-10-07,21.23
Cabbage,Udupi,2025-10-07,19.31
Cabbage,Uttara Kannada,2025-10-07,21.31
Cabbage,Shivamogga,2025-10-07,23.72
Cabbage,Davangere,2025-10-07,19.68
Cabbage,Chitradurga,2025-10-07,21.38
Cabbage,Ballari,2025-10-07,21.98
Cabbage,Koppal,2025-10-07,18.13
Cabbage,Raichur,2025-10-07,23.16
Cabbage,Kalaburagi,2025-10-07,21.31
Cabbage,Yadgir,2025-10-07,22.92
Cabbage,Bidar,2025-10-07,19.25
Cabbage,Vijayapura,2025-10-07,22.92
Cabbage,Bagalkot,2025-10-07,19.78
Cabbage,Belagavi,2025-10-07,22.99
Cabbage,Dharwad,2025-10-07,22.07
Cabbage,Gadag,2025-10-07,19.28
Cabbage,Haveri,2025-10-07,22.04
Cauliflower,Bangalore Urban,2025-10-07,27.7
Cauliflower,Bangalore Rural,2025-10-07,28.02
Cauliflower,Mysuru,2025-10-07,30.19
Cauliflower,Mandya,2025-10-07,26.57
Cauliflower,Tumakuru,2025-10-07,29.28
Cauliflower,Kolar,2025-10-07,29.65
Cauliflower,Chikkaballapur,2025-10-07,30.52
Cauliflower,Ramanagara,2025-10-07,26.6
Cauliflower,Hassan,2025-10-07,26.44
Cauliflower,Chikkamagaluru,2025-10-07,32.27
Cauliflower,Kodagu,2025-10-07,28.2
Cauliflower,Dakshina Kannada,2025-10-07,26.83
Cauliflower,Udupi,2025-10-07,27.72
Cauliflower,Uttara Kannada,2025-10-07,27.94
Cauliflower,Shivamogga,2025-10-07,28.45
Cauliflower,Davangere,2025-10-07,32.7
Cauliflower,Chitradurga,2025-10-07,30.41
Cauliflower,Ballari,2025-10-07,27.73
Cauliflower,Koppal,2025-10-07,31.64
Cauliflower,Raichur,2025-10-07,30.33
Cauliflower,Kalaburagi,2025-10-07,26.2
Cauliflower,Yadgir,2025-10-07,33.12
Cauliflower,Bidar,2025-10-07,24.23
Cauliflower,Vijayapura,2025-10-07,32.0
Cauliflower,Bagalkot,2025-10-07,26.92
Cauliflower,Belagavi,2025-10-07,32.16
Cauliflower,Dharwad,2025-10-07,31.49
Cauliflower,Gadag,2025-10-07,32.62
Cauliflower,Haveri,2025-10-07,24.25
Carrot,Bangalore Urban,2025-10-07,28.94
Carrot,Bangalore Rural,2025-10-07,36.22
Carrot,Mysuru,2025-10-07,34.23
Carrot,Mandya,2025-10-07,35.74
Carrot,Tumakuru,2025-10-07,35.29
Carrot,Kolar,2025-10-07,30.41
Carrot,Chikkaballapur,2025-10-07,27.4
Carrot,Ramanagara,2025-10-07,36.83
Carrot,Hassan,2025-10-07,33.8
Carrot,Chikkamagaluru,2025-10-07,30.14
Carrot,Kodagu,2025-10-07,35.16
Carrot,Dakshina Kannada,2025-10-07,34.3
Carrot,Udupi,2025-10-07,30.34
Carrot,Uttara Kannada,2025-10-07,32.48
Carrot,Shivamogga,2025-10-07,28.85
Carrot,Davangere,2025-10-07,27.77
Carrot,Chitradurga,2025-10-07,34.63
Carrot,Ballari,2025-10-07,33.14
Carrot,Koppal,2025-10-07,32.16
Carrot,Raichur,2025-10-07,29.96
Carrot,Kalaburagi,2025-10-07,30.86
Carrot,Yadgir,2025-10-07,31.34
Carrot,Bidar,2025-10-07,34.79
Carrot,Vijayapura,2025-10-07,31.64
Carrot,Bagalkot,2025-10-07,31.04
Carrot,Belagavi,2025-10-07,32.62
Carrot,Dharwad,2025-10-07,35.38
Carrot,Gadag,2025-10-07,36.74
Carrot,Haveri,2025-10-07,30.9
Brinjal,Bangalore Urban,2025-10-07,36.92
Brinjal,Bangalore Rural,2025-10-07,36.47
Brinjal,Mysuru,2025-10-07,35.36
Brinjal,Mandya,2025-10-07,32.07
Brinjal,Tumakuru,2025-10-07,34.59
Brinjal,Kolar,2025-10-07,36.0
Brinjal,Chikkaballapur,2025-10-07,33.74
Brinjal,Ramanagara,2025-10-07,32.69
Brinjal,Hassan,2025-10-07,32.27
Brinjal,Chikkamagaluru,2025-10-07,37.97
Brinjal,Kodagu,2025-10-07,33.55
Brinjal,Dakshina Kannada,2025-10-07,31.21
Brinjal,Udupi,2025-10-07,33.81
Brinjal,Uttara Kannada,2025-10-07,32.42
Brinjal,Shivamogga,2025-10-07,29.13
Brinjal,Davangere,2025-10-07,34.96
Brinjal,Chitradurga,2025-10-07,36.79
Brinjal,Ballari,2025-10-07,35.03
Brinjal,Koppal,2025-10-07,35.83
Brinjal,Raichur,2025-10-07,32.67
Brinjal,Kalaburagi,2025-10-07,35.68
Brinjal,Yadgir,2025-10-07,36.2
Brinjal,Bidar,2025-10-07,35.14
Brinjal,Vijayapura,2025-10-07,32.91
Brinjal,Bagalkot,2025-10-07,36.19
Brinjal,Belagavi,2025-10-07,37.96
Brinjal,Dharwad,2025-10-07,36.28
Brinjal,Gadag,2025-10-07,38.25
Brinjal,Haveri,2025-10-07,34.76
Capsicum,Bangalore Urban,2025-10-07,70.46
Capsicum,Bangalore Rural,2025-10-07,65.13
Capsicum,Mysuru,2025-10-07,77.31
Capsicum,Mandya,2025-10-07,63.71
Capsicum,Tumakuru,2025-10-07,71.68
Capsicum,Kolar,2025-10-07,70.97
Capsicum,Chikkaballapur,2025-10-07,65.56
Capsicum,Ramanagara,2025-10-07,80.78
Capsicum,Hassan,2025-10-07,79.59
Capsicum,Chikkamagaluru,2025-10-07,75.83
Capsicum,Kodagu,2025-10-07,69.06
Capsicum,Dakshina Kannada,2025-10-07,73.63
Capsicum,Udupi,2025-10-07,62.39
Capsicum,Uttara Kannada,2025-10-07,72.41
Capsicum,Shivamogga,2025-10-07,69.28
Capsicum,Davangere,2025-10-07,68.83
Capsicum,Chitradurga,2025-10-07,69.84
